지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
90,속초,2010,12.3,-11.6,20100113,35.1,20100801,8.6,16.5,1015.8,1283.6,93,20100523,62.3,2065.7,46.38,,2.4,290,,
90,속초,2011,12.1,-13.2,20110116,35.7,20110811,8.4,16,1016.1,1656.1,139,20110727,62,2043.2,45.88,,2.2,290,,
90,속초,2012,12,-14.3,20120202,34.7,20120727,8.5,15.8,1015.1,1217.7,175,20120917,67.4,2101,47.52,,2.3,250,,
90,속초,2013,12.9,-14.1,20130208,35.8,20130809,9.1,16.7,1014.6,1115.7,102,20130714,65.7,2439.3,54.76,,2.3,270,,
90,속초,2014,13.2,-10.8,20141218,34.6,20140711,9.3,17.1,1015.8,1099,138,20140903,68.3,2386,53.57,,2.2,270,,
90,속초,2015,12.6,-10.4,20150209,35.4,20150731,8.8,16.6,1015.7,1127.7,114.5,20150626,67.5,2413.6,55.43,,2.1,290,,
90,속초,2016,12.8,-16.4,20160124,35.9,20160813,9,16.8,1015.5,1333.8,206.4,20160705,68.4,2205.3,49.74,,1.9,290,,
90,속초,2017,13.1,-11.2,20170123,34.9,20170721,8.9,17.4,1015.1,1208.2,89.4,20170818,61.6,2497.9,56.08,,1.8,290,,
90,속초,2018,12.6,-16.2,20180125,38.7,20180805,8.5,16.9,1015.8,1777,226.2,20180806,61.7,2421.1,54.36,,1.9,290,,
90,속초,2019,13.8,-9,20190116,36.1,20190723,9.6,18,1015.2,1355.5,203.7,20190815,60.6,2543.1,57.11,,1.9,270,,
90,속초,2020,13.3,-11.3,20201231,35.1,20200819,9.3,17.5,1015.3,2085.8,214.6,20200630,61.7,2447.9,54.85,,2.1,270,,
90,속초,2021,13.2,-16.1,20210108,33.8,20210804,9.2,17.4,1015.5,1199.7,83.5,20210808,64.5,2478.1,55.77,,2,270,,
93,북춘천,2016,,-12.1,20161216,29,20161003,,,,208.4,49,20161222,,475,50.02,845.97,,230,187.9,131.4
93,북춘천,2017,11.3,-19,20171213,37.5,20170805,5.3,18.1,1016.6,1133.4,146.5,20170710,66.3,2503.1,56.2,5163.39,1.3,230,1372.5,960.9
93,북춘천,2018,11.2,-21.7,20180127,40.6,20180801,5.3,17.9,1017,1261.9,189.5,20180829,65.6,2542,57.06,4907.95,1.4,200,1321,924.2
93,북춘천,2019,11.7,-15.1,20190103,36.5,20190805,5.8,18.3,1016.6,931.8,85.7,20190726,68.6,2368.7,53.18,5264.83,1.2,200,1372.2,959.9
93,북춘천,2020,11.4,-18.5,20201216,35.8,20200622,5.9,17.8,1016.8,1561.4,188.5,20200803,72.5,2281.7,51.12,5226.28,1.3,200,1285.2,900.1
93,북춘천,2021,11.6,-22.5,20210108,36.6,20210727,6.1,18,1016.8,1065.2,67.4,20210516,73.5,2303.2,51.71,5354.64,1.2,200,1290.2,902.9
95,철원,2010,10.1,-26.8,20100106,32.9,20100805,4.7,15.8,1016.5,1867.5,125.5,20100910,72.1,1776.1,39.88,,1.8,200,979.1,481.9
95,철원,2011,9.8,-24.3,20110116,34.3,20110807,4.2,16,1016.9,1656.3,200.5,20110727,69.5,2059.4,46.25,,1.8,200,967.2,507
95,철원,2012,9.6,-24.6,20120202,34.3,20120804,4,15.6,1016.1,1317.7,174.5,20120815,68.1,2179.9,48.84,,1.8,230,1136.4,575.8
95,철원,2013,10,-25.8,20130103,32.7,20130609,4.6,15.9,1016,1758.9,145.5,20130714,72,2364.4,53.08,,1.7,200,1050.4,524.6
95,철원,2014,11,-20.3,20141218,35.3,20140802,5.1,17.3,1016.7,684.4,81,20140725,67.8,2486.9,55.84,,1.7,200,1175,605.4
95,철원,2015,11.1,-18.1,20150209,35.6,20150711,5.2,17.5,1016.6,1094.9,134,20150724,66.7,2625.1,58.95,,1.6,200,340.2,
95,철원,2016,11.2,-20.6,20160120,34.3,20160812,5.5,17.4,1016.6,1180.9,154.2,20160705,67.3,2356.9,52.81,,1.5,200,,
95,철원,2017,10.5,-18.8,20171213,33.8,20170803,4.5,16.8,1016.8,1233.4,117.9,20170708,65.8,2379.7,53.57,,1.5,200,,
95,철원,2018,10.4,-25.2,20180126,38.4,20180801,4.6,16.7,1017.4,1480.6,384.3,20180829,69.1,2506.1,56.27,,1.7,200,,
95,철원,2019,11.1,-17.1,20190109,35.1,20190806,5,17.5,1016.8,920.5,105.4,20190726,73.7,2754.5,61.99,5170.99,1.2,200,1257.7,880.7
95,철원,2020,11,-18.8,20201216,34.9,20200826,5.4,16.9,1017,1749.3,155.5,20200802,78.3,2597.2,58.19,5098.45,1.3,200,1160.8,812.1
95,철원,2021,11.3,-22.4,20210109,35.7,20210727,5.6,17.5,1017,1115.3,79.4,20210516,78.7,2669.6,59.94,5351.69,1.3,200,1216.6,851.7
98,동두천,2010,10.9,-19.5,20100106,33,20100811,6.2,16.7,1016.3,1939.5,121.5,20100717,67.5,1845.9,41.44,,1.7,20,,
98,동두천,2011,10.7,-19.1,20110117,35.2,20110620,5.9,16.8,1016.6,2311.2,449.5,20110727,63.9,2111.8,47.41,,1.4,360,,
98,동두천,2012,11,-19.7,20120203,36.4,20120804,6,17.4,1015.6,1383.9,105,20120630,64,2408.2,53.95,,1.7,360,,
98,동두천,2013,11.4,-20.7,20130103,34.3,20130609,6.4,17.5,1015.6,1470.9,131,20130708,67.3,2398.2,53.84,,1.7,20,,
98,동두천,2014,12.1,-15.6,20141218,36.3,20140802,6.9,18.7,1016.2,741.6,66.5,20140903,64.2,2418,54.29,,1.6,20,,
98,동두천,2015,12.4,-14.3,20150209,35.7,20150711,7.1,19,1016.1,988.5,105.8,20150725,62,2483.1,55.74,0,1.6,20,,
98,동두천,2016,12.6,-19.3,20160124,35.7,20160811,7.3,19.3,1016.1,1087.2,162.1,20160705,61,2412.1,54.04,,1.6,20,,
98,동두천,2017,11.8,-16.6,20171213,35.9,20170805,6.4,18.6,1016.6,989.7,93,20170710,60.7,2446.4,54.92,,1.7,20,,
98,동두천,2018,11.7,-20.4,20180127,38.7,20180801,6.4,18.4,1017.4,1500,279.6,20180829,61,2590.3,58.15,,1.6,20,,
98,동두천,2019,12,-13.4,20191206,35.8,20190706,6.6,18.4,1017,1028.1,129.6,20190910,68.6,2563.3,57.55,,1.4,20,,
98,동두천,2020,11.8,-15.9,20201216,35.5,20200622,6.8,18,1017.2,1641.9,129.1,20200809,72.8,2440.3,54.67,,1.4,20,,
98,동두천,2021,12.1,-20.2,20210108,35.7,20210724,6.9,18.4,1017,1035.6,79.4,20210516,73.4,2417.4,54.27,768.57,1.3,20,65.1,45.7
99,파주,2010,10.6,-25.9,20100106,34.1,20100809,5.6,16.6,1016.4,1827.2,120,20100902,73.7,1914.8,42.98,,1.6,50,,
99,파주,2011,10.4,-23,20110116,34.1,20110806,5.1,16.7,1016.9,2063.3,322.5,20110727,72.3,2114.3,47.47,,1.5,50,,
99,파주,2012,10.9,-24.6,20120203,36.5,20120803,5.4,17.2,1016.1,1436.1,226,20120815,71.3,2484.2,55.65,,1.6,50,,
99,파주,2013,11,-24.5,20130103,34.9,20130811,5.8,17.2,1016.1,1347.4,110.5,20130708,73.4,2424.9,54.44,,1.6,200,,
99,파주,2014,11.4,-17,20141218,35.8,20140802,5.9,17.8,1016.7,642.7,63.8,20140725,67.6,2524.9,56.68,,1.6,50,,
99,파주,2015,11.6,-16.4,20150209,35,20150711,5.9,18.2,1016.6,716.2,72.2,20150724,66,2623,58.89,,1.6,50,,
99,파주,2016,11.7,-20,20160124,35,20160811,6.2,18.2,1016.7,1163.9,164.6,20160705,68.2,2555.7,57.25,,1.6,20,,
99,파주,2017,10.5,-18.8,20171213,34.9,20170803,4.7,17.2,1016.8,947.8,87.7,20170820,70.9,2568.4,57.81,,1.4,50,,
99,파주,2018,10.5,-23.5,20180127,37.6,20180801,4.9,17.1,1017.3,1009.5,73,20180626,73,2592.8,58.38,,1.5,50,,
99,파주,2019,11.3,-16.1,20190102,34.7,20190811,5.5,17.7,1017,1022.4,171.9,20190910,73.6,2532.7,56.86,,1.3,90,,
99,파주,2020,11.2,-17.4,20201216,34.4,20200622,5.8,17.3,1017.2,1612.3,143,20200809,76.2,2417.7,54.16,,1.4,50,,
